Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition
Toyota,Corolla GLI,2017,76000,4350000,Petrol,Islamabad,Original,Local,Automatic,Used
Suzuki,Alto,2007,200000,1670000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Alto,2006,150000,850000,Petrol,Lahore,Duplicate,Local,Manual,Used
Daihatsu,Mira,2015,73000,2850000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Swift,2018,63000,2199999,Petrol,Islamabad,Duplicate,Local,Manual,Used
Suzuki,Swift,2010,100000,1550000,Petrol,Karachi,Original,Imported,Manual,Used
Mitsubishi,Lancer,2005,141306,1420000,Petrol,Punjab,Original,Imported,Automatic,Used
Honda,City IVTEC,2022,32000,4340000,Petrol,Punjab,Original,Local,Manual,Used
Mitsubishi,Minica,2014,11111,1290000,Petrol,Islamabad,Original,Imported,Manual,Used
Toyota,Corolla XLI,2007,130000,1650000,Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu,Move,2016,90000,2350000,Petrol,Lahore,Original,Imported,Automatic,Used
Honda,Civic Oriel,2016,67000,4600000,Petrol,Karachi,Original,Local,Automatic,Used
Mitsubishi,Lancer,2006,145000,1375000,Petrol,Karachi,Original,Imported,Automatic,Used
FAW,X-PV,2018,140000,1380000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Bolan,2003,100000,450000,Petrol,Karachi,Original,Imported,Manual,Used
Hyundai,Santro,2003,121000,925000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2007,246000,1780000,Petrol,Lahore,Original,Local,Manual,Used
Hyundai,Santro,2004,90000,810000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Mehran VXR,2017,24780,1250000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Wagon R,2015,112000,2550000,Petrol,Islamabad,Original,Imported,Automatic,Used
Suzuki,Bolan,2002,70000,1000000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Alto,2004,85000,1000000,Petrol,Islamabad,Original,Imported,Manual,Used
Toyota,Corrolla Altis,2005,135000,1650000,Petrol,Karachi,Original,Local,Automatic,Used
Honda,City IVTEC,2022,10000,4365000,Petrol,Punjab,Original,Local,Manual,Used
Daihatsu,Move,2017,76000,2800000,Petrol,Islamabad,Original,Imported,Automatic,Used
Suzuki,Mehran VXR,2007,97000,575000,Petrol,Faisalabad,Original,Local,Manual,Used
Suzuki,Cultus VXR,2012,71000,1175000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Cuore,2010,85000,825000,Petrol,Sindh,Original,Local,Manual,Used
KIA,Classic,2001,10000,500000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Passo,2013,95000,1850000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Bolan,2012,60135,880000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Cultus VXR,2013,80000,1275000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Bolan,2016,55000,775000,Petrol,Lahore,Original,Local,Manual,Used
FAW,X-PV,2015,1234,710000,Petrol,Lahore,Original,Imported,Manual,Used
Toyota,Corolla XLI,2007,100000,1980000,CNG,Peshawar,Original,Local,Manual,Used
Changan,Karvaan,2020,78000,2000000,Petrol,Lahore,Original,Local,Manual,Used
KIA,Spectra,2002,23458,750000,Petrol,Lahore,Original,Imported,Manual,Used
Daihatsu,Terios Kid,2001,120000,1570000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Bolan,2019,60000,1350000,Petrol,Sindh,Original,Imported,Manual,Used
Toyota,Corolla GLI,2016,137000,3800000,Petrol,Islamabad,Original,Local,Manual,Used
Honda,City IDSI,2005,71500,1580000,Petrol,Faisalabad,Original,Local,Manual,Used
Toyota,Corolla GLI,2016,85000,4000000,Petrol,Islamabad,Original,Local,Automatic,Used
Suzuki,Alto,2019,45000,2449000,Petrol,Islamabad,Original,Local,Automatic,Used
Toyota,Corolla GLI,2018,87800,3950000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Wagon R,2021,50000,2675000,Petrol,Punjab,Original,Local,Manual,Used
Suzuki,Wagon R,2016,72000,2550000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Bolan,2016,20116,1150000,Petrol,Multan,Original,Imported,Manual,Used
Changan,Alsvin,2022,26700,4100000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Swift,2019,70000,3350000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Bolan,2010,70000,560000,Petrol,Multan,Original,Imported,Manual,Used
Suzuki,Baleno,2003,150000,1145000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Yaris,2021,90200,4200000,Petrol,Punjab,Original,Local,Automatic,Used
Chevrolet,Joy,2008,79000,650000,Petrol,Karachi,Original,Local,Manual,Used
Changan,Alsvin,2021,21000,3450000,Petrol,Punjab,Original,Local,Manual,Used
Honda,Civic Prosmetic,2003,130000,1225000,Petrol,Karachi,Original,Local,Automatic,Used
Daihatsu,Cuore,2002,10000,450000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Swift,2014,40000,1895000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Wagon R,2018,68000,1925000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Mira,2020,3500,3650000,Petrol,Unregistered,Original,Imported,Automatic,Used
Honda,Civic Prosmetic,2004,12345,1250000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Alto,2009,123456,850000,CNG,Karachi,Original,Local,Manual,Used
FAW,X-PV,2016,1000,1450000,Petrol,Lahore,Original,Imported,Manual,Used
Toyota,Passo,2010,66000,2380000,Petrol,Lahore,Original,Imported,Automatic,Used
Daihatsu,Cuore,2007,80000,650000,Petrol,Karachi,Original,Local,Manual,Used
Honda,City IVTEC,2012,95000,2400000,Petrol,Punjab,Original,Local,Manual,Used
Suzuki,Bolan,2019,35000,1530000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Mehran VXR,2006,100000,575000,Petrol,Sindh,Duplicate,Local,Manual,Used
Daihatsu,Cuore,2003,80000,460000,CNG,Karachi,Original,Imported,Manual,Used
Suzuki,Alto,2021,42000,2350000,Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu,Cuore,2005,100000,570000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Corolla XLI,2006,12345,1380000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Wagon R,2020,70000,2550000,Petrol,Lahore,Original,Local,Manual,Used
Hyundai,Santro,2008,125000,975000,Petrol,Sialkot,Original,Local,Manual,Used
Suzuki,Swift,2020,86000,2800000,Petrol,Lahore,Original,Local,Manual,Used
Honda,Civic Prosmetic,2006,100000,1700000,Petrol,Lahore,Original,Imported,Automatic,Used
Daihatsu,Cuore,2006,163000,670000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Yaris,2021,35000,4150000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Alto,2021,28000,2750000,Petrol,Lahore,Original,Local,Automatic,Used
Daihatsu,Mira,2014,75000,2530000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Corolla GLI,2011,150000,1850000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Bolan,2021,30000,1850000,Petrol,Islamabad,Original,Local,Manual,Used
Toyota,Altis Grande,2016,113000,4150000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Ravi,2011,60000,700000,Petrol,Karachi,Original,Imported,Manual,Used
Honda,Civic Oriel,2006,156000,1700000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Alto,2006,175000,775000,Petrol,Lahore,Original,Local,Manual,Used
Chevrolet,Joy,2007,12354,790000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Alto,2021,65000,2600000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Bolan,2016,10000,1000000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Bolan,2018,20000,1300000,CNG,Sindh,Original,Local,Manual,Used
Hyundai,Santro,2001,155000,750000,Petrol,Peshawar,Original,Local,Automatic,Used
Toyota,Corrolla Altis,2015,85000,3450000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Alto,2006,98000,610000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Wagon R,2017,65000,1950000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Yaris,2022,55000,3890000,Petrol,Punjab,Original,Imported,Manual,Used
Toyota,Corrolla Altis,2019,70000,4775000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Alto,2007,65000,770000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Mehran VXR,2017,35000,1150000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Cultus VXR,2013,100000,1375000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Ravi,2013,12345,950000,Petrol,Peshawar,Original,Local,Manual,Used
Hyundai,Santro,2008,110000,1260000,Petrol,Lahore,Original,Local,Manual,Used
Hyundai,Santro,2007,1000,1000000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Wagon R,2018,128000,2370000,Petrol,Lahore,Original,Local,Manual,Used
KIA,Picanto,2020,30000,2580000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Mehran VXR,2006,45000,630000,Petrol,Punjab,Original,Local,Manual,Used
Toyota,Yaris,2022,31500,4850000,Petrol,Islamabad,Original,Local,Automatic,Used
Honda,City IDSI,2005,203820,1750000,Petrol,Lahore,Original,Imported,Automatic,Used
Toyota,Corolla GLI,2012,100000,2750000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Bolan,2010,84000,750000,CNG,Nowshera,Original,Local,Manual,Used
Toyota,Passo,2008,10000,1950000,Petrol,Islamabad,Original,Imported,Automatic,Used
Honda,City Aspire,2016,82000,3150000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Wagon R,2016,120000,1900000,Petrol,Multan,Original,Local,Manual,Used
Honda,City IDSI,2000,123568,845000,Petrol,Karachi,Original,Local,Automatic,Used
Toyota,Corolla GLI,2013,207400,2685000,Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu,Mira,2012,81550,1950000,Petrol,Karachi,Original,Imported,Automatic,Used
Honda,City Aspire,2017,77300,3825000,Petrol,Islamabad,Original,Local,Automatic,Used
Honda,Civic Prosmetic,2002,100000,1150000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Baleno,2004,100000,885000,Petrol,Lahore,Original,Local,Manual,Used
Mitsubishi,Lancer,2005,150000,1600000,Petrol,Lahore,Original,Imported,Automatic,Used
Honda,City Vario,2021,30000,4300000,Petrol,Punjab,Original,Imported,Automatic,Used
Daihatsu,Cuore,2002,267000,550000,Petrol,Sialkot,Original,Local,Manual,Used
Daihatsu,Cuore,2003,13000,660000,Petrol,Lahore,Original,Imported,Manual,Used
Honda,City Aspire,2022,31000,4900000,Petrol,Islamabad,Original,Local,Automatic,Used
KIA,Picanto,2021,64000,3000000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Every,2013,100000,1525000,Petrol,Islamabad,Original,Imported,Automatic,Used
Toyota,Corolla XLI,2012,86000,2500000,Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu,Hijet,2013,12345,1450000,Petrol,Multan,Original,Imported,Automatic,Used
Suzuki,Cultus VXR,2008,123456,825000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City Aspire,2016,64800,3570000,Petrol,Multan,Original,Local,Automatic,Used
Suzuki,Cultus VXR,2009,200000,1050000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Cuore,2011,1234,950000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Corolla XLI,2014,102134,2585000,Petrol,Karachi,Original,Local,Manual,Used
FAW,X-PV,2017,183000,900000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City Vario,2005,100000,1475000,Petrol,Karachi,Original,Local,Automatic,Used
Toyota,Corolla GLI,2011,172000,2375000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2018,110000,3200000,Petrol,Punjab,Original,Local,Manual,Used
Hyundai,Santro,2006,91900,995000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla GLI,2012,190000,2750000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Bolan,2010,21600,850000,CNG,Islamabad,Original,Imported,Manual,Used
Honda,Civic VTi,2016,99000,4130000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Altis Grande,2017,92000,4850000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,City IVTEC,2018,116336,3270000,Petrol,Lahore,Original,Local,Manual,Used
Honda,Civic Oriel,2017,95000,4950000,Petrol,Islamabad,Original,Local,Automatic,Used
Daihatsu,Terios Kid,2009,41000,1975000,Petrol,Lahore,Original,Local,Automatic,Used
Daihatsu,Mira,2006,102000,1400000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Alto,2022,31000,2475000,Petrol,Punjab,Original,Imported,Manual,Used
Suzuki,Mehran VXR,2010,100000,670000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Corolla GLI,2017,58786,3795000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Wagon R,2014,130000,1950000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Yaris,2020,40000,3575000,Petrol,Islamabad,Original,Local,Manual,Used
Changan,Alsvin,2022,11000,4510000,Petrol,Islamabad,Original,Local,Automatic,Used
Suzuki,Bolan,2004,17591,450000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Wagon R,2017,125000,1975000,Petrol,Multan,Original,Local,Manual,Used
Suzuki,Cultus VXR,2008,155540,980000,Petrol,Faisalabad,Original,Local,Manual,Used
Suzuki,Cultus VXR,2013,88000,1400000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Mehran VXR,2011,65321,550000,Petrol,Gujranwala,Original,Local,Manual,Used
Hyundai,Santro,2006,123521,798000,Petrol,Lahore,Original,Local,Manual,Used
Honda,Civic Prosmetic,2011,115000,2075000,Petrol,Karachi,Original,Local,Automatic,Used
Daihatsu,Hijet,2019,80000,1475000,Petrol,Karachi,Original,Imported,Automatic,Used
Honda,City IVTEC,2016,76500,2800000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Cuore,2000,15000,650000,Petrol,Lahore,Original,Imported,Manual,Used
Daihatsu,Cuore,2008,215792,980000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Mira,2012,79000,2200000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Alto,2022,29000,2400000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Every,2013,109000,2150000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Cultus VXR,2006,74000,749000,CNG,Karachi,Original,Local,Manual,Used
Suzuki,Cultus VXR,2005,1000,735000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Hijet,2011,117000,1325000,Petrol,Sindh,Original,Imported,Automatic,Used
Toyota,Corolla GLI,2018,140000,4100000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Wagon R,2021,21000,3600000,Petrol,Unregistered,Original,Imported,Automatic,Used
Suzuki,Alto,2005,70000,795000,Petrol,Rawalpindi,Original,Local,Manual,Used
Suzuki,Cultus VXR,2003,200000,795000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2018,65000,3700000,Petrol,Islamabad,Original,Local,Manual,Used
Hyundai,Santro,2007,97000,925000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla GLI,2014,110000,3170000,CNG,Lahore,Original,Local,Manual,Used
Daihatsu,Mira,2018,128700,1950000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Ravi,2015,12345,500000,Petrol,Karachi,Original,Imported,Manual,Used
Daihatsu,Mira,2013,95000,1250000,Petrol,Lahore,Original,Imported,Manual,Used
Toyota,Yaris,2023,2950,4800000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,Civic Prosmetic,2011,93000,2400000,Petrol,Lahore,Original,Imported,Automatic,Used
Toyota,Yaris,2020,80000,4150000,Petrol,Lahore,Original,Local,Automatic,Used
Daihatsu,Mira,2014,86000,2200000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Swift,2011,115500,1550000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Hijet,2018,107000,1650000,Petrol,Islamabad,Original,Imported,Manual,Used
Suzuki,Wagon R,2019,50000,2550000,Petrol,Lahore,Original,Local,Manual,Used
Hyundai,Santro,2006,141000,950000,Petrol,Sindh,Original,Local,Manual,Used
Daihatsu,Mira,2011,78000,1980000,Petrol,Lahore,Original,Imported,Automatic,Used
Toyota,Yaris,2022,23000,4400000,Petrol,Punjab,Original,Local,Automatic,Used
Suzuki,Bolan,2018,61000,1250000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Mehran VXR,2009,55000,940000,Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu,Mira,2014,125000,2280000,Petrol,Karachi,Original,Imported,Automatic,Used
Daihatsu,Move,2007,93699,1750000,Petrol,Lahore,Original,Imported,Automatic,Used
Toyota,Yaris,2022,23000,5000000,Petrol,Punjab,Original,Local,Automatic,Used
Mitsubishi,Pajero Mini,2007,123456,950000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Every,2019,145000,2080000,Petrol,Lahore,Original,Imported,Manual,Used
Honda,Civic Oriel,2017,95000,4800000,Petrol,Islamabad,Original,Imported,Automatic,Used
Suzuki,Wagon R,2018,98000,2150000,Petrol,Lahore,Original,Imported,Manual,Used
Toyota,Passo,2015,49000,2950000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Alto,2006,60000,650000,CNG,Karachi,Original,Imported,Manual,Used
Toyota,Corolla GLI,2011,140000,2700000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Every,2008,170000,1350000,Petrol,Sindh,Original,Imported,Automatic,Used
Daihatsu,Mira,2019,30000,3550000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Corolla GLI,2011,130000,2575000,Petrol,Islamabad,Original,Local,Manual,Used
Honda,City IVTEC,2017,82000,3650000,Petrol,Islamabad,Original,Local,Manual,Used
Honda,City Aspire,2013,156000,2725000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2010,168000,2350000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IDSI,2004,175000,1550000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Cuore,2010,139535,1050000,Petrol,Lahore,Original,Imported,Manual,Used
Honda,Civic Prosmetic,2006,129000,1650000,Petrol,Karachi,Original,Local,Automatic,Used
Hyundai,Santro,2001,150000,700000,Petrol,Sindh,Original,Imported,Manual,Used
Suzuki,Wagon R,2019,85000,2650000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla XLI,2019,51336,4175000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,City Aspire,2014,90000,2900000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,City IVTEC,2016,96545,3150000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Swift,2012,120000,1750000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IDSI,2004,123456,1450000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Mira,2007,162000,1325000,Petrol,Karachi,Original,Imported,Automatic,Used
Daihatsu,Mira,2015,110000,2525000,Petrol,Sindh,Original,Imported,Automatic,Used
Honda,City IDSI,2005,200000,1550000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Bolan,2006,292000,640000,Petrol,Sindh,Original,Local,Manual,Used
Suzuki,Cultus VXR,2013,9999,1290000,Petrol,Lahore,Original,Imported,Manual,Used
Honda,Civic Prosmetic,2011,145000,2150000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Cervo,2007,88000,1345000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Wagon R,2020,64000,2800000,Petrol,Multan,Original,Imported,Automatic,Used
Toyota,Yaris,2022,54000,4055000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Corolla XLI,2008,155000,1925000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla XLI,2017,75600,3435000,Petrol,Lahore,Original,Local,Manual,Used
Honda,Civic Prosmetic,2014,30000,3600000,Petrol,Islamabad,Original,Imported,Automatic,Used
Hyundai,Santro,2006,107000,785000,Petrol,Faisalabad,Original,Imported,Manual,Used
Honda,Civic Prosmetic,2010,150000,2000000,Petrol,Islamabad,Original,Imported,Automatic,Used
Daihatsu,Cuore,2006,12345,730000,Petrol,Lahore,Original,Imported,Manual,Used
Honda,City IVTEC,2010,117000,2450000,Petrol,Karachi,Original,Local,Automatic,Used
Honda,City Aspire,2006,154378,1650000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Mira,2015,119000,2290000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Corolla GLI,2019,84000,4600000,Petrol,Multan,Original,Local,Automatic,Used
Daihatsu,Move,2014,96000,2200000,Petrol,Multan,Original,Imported,Automatic,Used
Suzuki,Bolan,2021,45030,1735000,CNG,Islamabad,Original,Local,Manual,Used
Honda,City IDSI,2005,112000,1395000,Petrol,Faisalabad,Original,Imported,Manual,Used
Suzuki,Wagon R,2019,73000,2260000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Hijet,2013,120000,1440000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Bolan,2017,3360,1380000,Petrol,Rawalpindi,Original,Imported,Manual,Used
Daihatsu,Cuore,2005,12789,540000,Petrol,Karachi,Original,Imported,Manual,Used
Toyota,Corolla GLI,2008,80000,1499000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Wagon R,2020,55000,2950000,Petrol,Karachi,Original,Local,Automatic,Used
Toyota,Corolla GLI,2016,87000,4100000,Petrol,Lahore,Original,Local,Automatic,Used
Toyota,Corolla GLI,2012,87501,2650000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Every,2023,89000,2475000,Petrol,Unregistered,Original,Imported,Automatic,Used
Toyota,Corolla GLI,2014,123000,3325000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City Aspire,2014,104500,3150000,Petrol,Lahore,Original,Local,Automatic,Used
Daihatsu,Move,2017,91000,2950000,Petrol,Punjab,Original,Imported,Automatic,Used
Toyota,Corrolla Altis,2018,88000,4985000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,City IDSI,2006,198000,1925000,Petrol,Karachi,Original,Local,Manual,Used
Honda,City IDSI,2006,72000,2200000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corrolla Altis,2019,64300,4975000,Petrol,Lahore,Original,Local,Automatic,Used
Toyota,Corolla XLI,2009,113000,1550000,Petrol,Lahore,Original,Imported,Manual,Used
Honda,Civic Prosmetic,2005,201400,1400000,Petrol,Sindh,Original,Local,Automatic,Used
Honda,City Vario,2002,100000,730000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Alto,2011,88000,900000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Cuore,2000,15000,650000,Petrol,Lahore,Original,Imported,Manual,Used
Toyota,Corolla GLI,2008,100000,1750000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Cultus VXR,2008,90000,1050000,Petrol,Sindh,Original,Local,Manual,Used
Toyota,Passo,2020,9200,4250000,Petrol,Islamabad,Original,Imported,Automatic,Used
Suzuki,Cultus VXR,2007,60000,750000,Petrol,Lahore,Original,Local,Manual,Used
Honda,Civic Oriel,2010,145000,1750000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla GLI,2011,170000,2450000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Mehran VXR,2007,20000,600000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Cultus VXR,2017,73000,1800000,Petrol,Karachi,Original,Local,Manual,Used
Honda,City IVTEC,2015,190000,2720000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Bolan,2015,21854,955000,Petrol,Multan,Original,Imported,Automatic,Used
Toyota,Passo,2015,79000,2725000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Alto,2019,65000,2075000,Petrol,Lahore,Original,Local,Manual,Used
Honda,Civic Oriel,2012,185000,2300000,Petrol,Lahore,Original,Local,Manual,Used
Honda,Civic Oriel,2017,100000,4600000,Petrol,Lahore,Original,Imported,Automatic,Used
Daihatsu,Cuore,2008,80000,730000,Petrol,Karachi,Original,Local,Manual,Used
Mitsubishi,Pajero Mini,2008,20000,1100000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Mehran VXR,2003,10000,350000,Petrol,Karachi,Original,Local,Manual,Used
Mitsubishi,Lancer,2005,180000,1050000,Petrol,Karachi,Original,Imported,Manual,Used
Toyota,Yaris,2020,35000,3750000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Cultus VXR,2013,75000,1140000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Cuore,2004,80000,670000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Cultus VXR,2013,95000,1270000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Wagon R,2019,114500,1970000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Mehran VXR,2019,96000,1500000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2022,7600,4580000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,City IVTEC,2019,76000,4350000,Petrol,Islamabad,Original,Local,Manual,Used
Toyota,Corolla GLI,2012,60000,2500000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2011,117000,2350000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Alto,2020,26000,3210000,Petrol,Islamabad,Original,Imported,Automatic,Used
Daihatsu,Mira,2006,133543,1550000,Petrol,Punjab,Original,Imported,Automatic,Used
Hyundai,Santro,2005,94258,1050000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Cultus VXR,2008,65000,860000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Mehran VXR,2006,50000,390000,Petrol,Karachi,Original,Local,Manual,Used
Honda,Civic Oriel,2002,136589,1295000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Cultus VXR,2006,125000,795000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Wagon R,2018,124000,2299999,Petrol,Islamabad,Original,Local,Manual,Used
Toyota,Yaris,2021,46500,4200000,Petrol,Punjab,Original,Imported,Automatic,Used
Toyota,Corolla GLI,2013,95000,2900000,Petrol,Karachi,Original,Local,Automatic,Used
FAW,X-PV,2016,82600,730000,Petrol,Faisalabad,Original,Local,Manual,Used
Honda,Civic Oriel,2014,95000,3400000,Petrol,Lahore,Original,Imported,Automatic,Used
Hyundai,Santro,2003,200000,835000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Hijet,2013,81500,1590000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Cultus VXR,2005,10000,640000,Petrol,Karachi,Original,Local,Manual,Used
Changan,Alsvin,2021,40000,3350000,Petrol,Karachi,Original,Local,Automatic,Used
Honda,Civic Oriel,2000,224777,1380000,Petrol,Sindh,Original,Imported,Automatic,Used
Hyundai,Santro,2003,156000,630000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Cuore,2006,50000,1000000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Bolan,2008,200000,650000,Petrol,Lahore,Original,Local,Manual,Used
Hyundai,Santro,2001,12345,750000,Petrol,Islamabad,Original,Imported,Manual,Used
Suzuki,Ravi,2015,20079,840000,Petrol,Kasur,Original,Imported,Manual,Used
